bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,30/08/14,Schalke 04,Bayern Munich,1,1,249.0,2.05,3.31,6.0,1.44,0.63,0.88,0.75,7,7
1,20/09/14,Hamburg,Bayern Munich,0,0,229.0,2.15,2.71,10.0,1.25,0.27,0.87,1.35,7,7
1,20/09/14,Mainz,Dortmund,2,0,309.0,1.84,4.44,5.0,1.57,0.56,0.73,1.05,7,7
1,27/09/14,FC Koln,Bayern Munich,0,2,289.0,1.49,7.66,7.5,1.36,0.35,0.86,4.2,7,7
1,27/09/14,Freiburg,Leverkusen,0,0,269.0,1.5,15.34,4.2,1.8,0.41,0.63,5.25,7,7
1,27/09/14,Paderborn,M'gladbach,1,2,249.0,1.46,32.9,3.3,2.1,0.59,0.59,7.5,7,7
1,27/09/14,Schalke 04,Dortmund,2,1,297.0,1.46,27.65,3.4,2.05,0.61,0.68,7.05,7,7
1,18/10/14,Freiburg,Wolfsburg,1,2,277.0,1.53,16.1,3.5,2.0,0.42,0.63,5.25,7,7
1,26/10/14,M'gladbach,Bayern Munich,0,0,257.0,1.49,8.61,8.0,1.36,0.63,0.88,2.7,7,7
1,08/11/14,Ein Frankfurt,Bayern Munich,0,4,237.0,1.95,2.9,13.0,1.18,0.41,0.87,1.05,7,7
1,22/11/14,Hannover,Leverkusen,1,3,217.0,1.53,14.26,3.8,1.91,0.53,0.59,3.45,7,7
1,22/11/14,Paderborn,Dortmund,2,2,197.0,1.33,26.6,7.0,1.4,0.48,0.54,7.5,7,7
1,29/11/14,Hertha,Bayern Munich,0,1,177.0,2.56,2.1,15.0,1.18,0.4,0.88,0.6,7,7
1,30/11/14,Ein Frankfurt,Dortmund,2,0,257.0,1.55,8.13,5.0,1.62,0.42,0.54,2.25,7,7
2,06/12/14,Bayern Munich,Leverkusen,1,0,237.0,1.9,3.26,1.25,12.0,0.89,0.63,0.40512,7,7
1,13/12/14,Augsburg,Bayern Munich,0,4,217.0,1.43,7.89,9.5,1.3,0.59,0.89,2.775,7,7
1,13/12/14,Hertha,Dortmund,1,0,307.0,1.46,15.33,5.5,1.62,0.36,0.54,5.25,7,7
1,19/12/14,Mainz,Bayern Munich,1,2,287.0,1.58,4.46,15.0,1.2,0.47,0.9,1.8,7,7
1,20/12/14,Werder Bremen,Dortmund,2,1,397.0,1.95,3.92,6.5,1.5,0.38,0.51,0.9,7,7
2,03/02/15,Bayern Munich,Schalke 04,1,1,377.0,1.43,5.29,1.13,19.0,0.86,0.64,0.91776,7,7
1,03/02/15,Ein Frankfurt,Wolfsburg,1,1,357.0,1.5,12.08,3.8,1.85,0.43,0.72,4.5,7,7
1,04/02/15,Hertha,Leverkusen,0,1,337.0,1.64,8.18,5.5,1.67,0.36,0.6,2.775,7,7
1,07/02/15,Stuttgart,Bayern Munich,0,2,317.0,2.8,2.0,13.0,1.2,0.38,0.84,0.525,7,7
1,08/02/15,Werder Bremen,Leverkusen,2,1,381.0,1.5,15.1,4.2,1.85,0.47,0.63,4.5,7,7
2,13/02/15,Dortmund,Mainz,4,2,361.0,2.13,2.94,1.33,9.5,0.48,0.46,0.4416,7,7
2,14/02/15,Bayern Munich,Hamburg,8,0,341.0,1.36,5.79,1.09,26.0,0.85,0.4,0.66816,7,7
1,20/02/15,Stuttgart,Dortmund,2,3,321.0,1.56,9.29,6.0,1.57,0.33,0.51,3.075,7,7
1,21/02/15,Paderborn,Bayern Munich,0,6,301.0,1.37,7.34,17.0,1.17,0.41,0.86,3.75,7,7
2,22/02/15,Wolfsburg,Hertha,2,1,281.0,2.2,2.81,1.33,9.0,0.74,0.36,0.20736,7,7
2,27/02/15,Bayern Munich,FC Koln,4,1,261.0,1.45,4.71,1.1,26.0,0.86,0.39,0.4896,7,7
2,28/02/15,Leverkusen,Freiburg,1,0,241.0,2.55,2.52,1.36,9.0,0.56,0.43,0.25344,7,7
1,07/03/15,Augsburg,Wolfsburg,1,0,291.0,1.55,14.38,3.5,2.1,0.54,0.76,4.35,7,7
1,07/03/15,Hannover,Bayern Munich,1,3,271.0,2.02,2.85,13.0,1.22,0.42,0.87,0.975,7,7
1,08/03/15,Paderborn,Leverkusen,0,3,251.0,1.46,19.78,5.0,1.7,0.35,0.58,7.5,7,7
1,14/03/15,Werder Bremen,Bayern Munich,0,4,231.0,2.35,2.5,10.0,1.29,0.52,0.88,0.6,7,7
